Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779317565,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779317566,10,,Aggregated,0.000000,0.000000,10,11,13,15,42,57,62,65,65,65,65,96,0,9,14.552185413170568,5.09519997285679,64.96649998007342,1836.5208333333333
1779317567,20,,Aggregated,0.000000,0.000000,22,35,46,49,61,72,95,100,110,110,110,257,0,22,29.80175175172266,5.09519997285679,114.80929999379441,2120.105058365759
1779317568,30,,Aggregated,72.000000,0.000000,44,69,93,100,140,150,190,210,250,250,250,394,0,44,58.58665152286241,5.09519997285679,253.9767000125721,2164.0659898477156
1779317569,40,,Aggregated,109.000000,0.000000,80,110,130,130,150,180,190,210,250,250,250,557,0,80,79.89052944401567,5.09519997285679,253.9767000125721,2185.1077199281867
1779317570,40,,Aggregated,117.666667,0.000000,110,130,150,170,200,210,240,290,360,360,360,691,0,110,102.52947959479135,5.09519997285679,357.625599950552,2137.1736613603475
1779317571,40,,Aggregated,131.500000,0.000000,130,140,170,180,210,230,260,300,360,360,360,829,0,130,114.36149348659032,5.09519997285679,357.625599950552,2165.686369119421
1779317572,40,,Aggregated,131.000000,0.000000,130,160,180,190,210,240,270,320,360,360,360,957,0,130,125.80393782731431,5.09519997285679,357.625599950552,2190.289446185998
1779317573,40,,Aggregated,133.333333,0.000000,140,180,190,210,240,280,320,350,440,450,450,1063,0,140,139.24630150565378,5.09519997285679,449.04390000738204,2176.8889934148638
1779317574,40,,Aggregated,132.142857,0.000000,150,190,200,210,250,280,320,350,440,450,450,1182,0,150,147.18198747939056,5.09519997285679,449.04390000738204,2169.931472081218
1779317575,40,,Aggregated,129.000000,0.000000,160,190,200,210,250,280,320,350,440,450,450,1319,0,160,151.94510015200257,5.09519997285679,449.04390000738204,2151.784685367703
