Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779168568,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779168569,10,,Aggregated,0.000000,0.000000,13,15,16,19,98,100,130,130,130,130,130,84,0,13,24.09792261841219,6.331200012937188,134.23630001489073,1838.0
1779168570,10,,Aggregated,0.000000,0.000000,12,14,15,18,30,97,100,130,130,130,130,182,0,11,18.34665274661377,6.331200012937188,134.23630001489073,2307.71978021978
1779168571,10,,Aggregated,24.000000,0.000000,11,13,15,16,22,31,100,130,130,130,130,285,0,11,15.76303894633607,6.225299992365763,134.23630001489073,2345.315789473684
1779168572,10,,Aggregated,60.000000,0.000000,11,13,14,16,21,30,99,100,130,130,130,379,0,11,14.762686014772543,6.225299992365763,134.23630001489073,2334.3562005277045
1779168573,10,,Aggregated,73.000000,0.000000,11,13,14,15,20,26,97,100,130,130,130,477,0,11,14.042781550299075,6.225299992365763,134.23630001489073,2385.6918238993712
1779168574,10,,Aggregated,79.250000,0.000000,11,13,14,15,20,24,34,100,130,130,130,583,0,11,13.503836191101176,6.225299992365763,134.23630001489073,2352.8987993138935
1779168575,10,,Aggregated,82.800000,0.000000,11,13,14,15,20,23,32,100,130,130,130,683,0,11,13.389574669865349,6.225299992365763,134.23630001489073,2335.2679355783307
1779168576,10,,Aggregated,85.333333,0.000000,11,13,14,15,19,23,32,99,130,130,130,789,0,11,13.146587705557767,6.225299992365763,134.23630001489073,2334.370088719899
1779168577,10,,Aggregated,88.142857,0.000000,11,13,14,15,19,23,32,98,130,130,130,880,0,11,13.079079545257793,6.218599999556318,134.23630001489073,2378.9886363636365
1779168578,10,,Aggregated,89.625000,0.000000,11,13,14,15,19,22,31,97,130,130,130,981,0,11,12.888045973219471,5.954699998255819,134.23630001489073,2363.0560652395516
